subject,age,education,age_english,age_spanish,comfortable_english,comfortable_spanish,classes_english,classes_spanish,residency_english,residency_spanish,family_english,family_spanish,work_english,work_spanish,percent_friends_english,percent_friends_spanish,percent_friends_other,percent_family_english,percent_family_spanish,percent_family_other,percent_work_english,percent_work_spanish,percent_work_other,talk_yourself_english,talk_yourself_spanish,talk_yourself_other,count_english,count_spanish,count_other,proficiency_speak_english,proficiency_speak_spanish,proficiency_understand_english,proficiency_understand_spanish,proficiency_read_english,proficiency_read_spanish,proficiency_write_english,proficiency_write_spanish,feel_myself_english,feel_myself_spanish,culture_english_speaking,culture_spanish_speaking,sound_native_english,sound_native_spanish,native_speaker_english,native_speaker_spanish,accents_spanish,accents_english,dominance_score,accents_coded,device,trial,response
S055,35,Masters,20,6,20,11,20,9,20,7,20,9,20,8,1,0.7,0.5,1,0.8,0.6,1,0.7,0.5,1,0.7,0.5,1,0.7,0.5,6,2,6,3,6,3,6,3,6,3,6,3,6,3,6,2,5,3,78.636,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S056,40,Some college,0,0,0,1,20,20,20,20,20,20,17,19,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,4,5,4,5,4,4,4,5,4,5,4,5,4,5,4,5,3,4,-27.604,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S057,35,Masters,0,19,1,14,20,3,20,4,20,3,20,6,1,0.5,0.3,1,0.4,0.4,1,0.6,0.3,1,0.6,0.3,1,0.8,0.3,6,1,6,1,6,2,6,1,6,2,6,3,6,3,6,2,5,2,129.394,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S058,35,Masters,20,2,20,1,20,1,20,1,20,1,20,1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,146.656,,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_i_spp_cr,1 and 2
S059,45,"College (B.A., B.S.)",0,5,3,10,7,2,20,3,20,5,15,3,1,0.3,0.1,1,0.1,0,1,0.2,0.1,1,0.2,0,1,0.2,0.1,6,4,6,4,6,3,6,3,6,3,6,3,6,3,6,2,3,5,111.514,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S060,35,Masters,20,1,20,2,20,1,20,2,20,1,20,1,1,0.2,0.1,1,0.2,0,1,0.2,0.1,1,0.1,0.1,1,0.1,0,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,141.842,,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_i_spp_cr,1 and 2
S061,30,Masters,20,11,21,12,19,12,18,11,19,13,19,11,1,0.6,0.4,1,0.7,0.5,1,0.6,0.4,1,0.6,0.4,1,0.7,0.5,6,2,6,2,6,3,6,2,6,4,6,2,6,2,6,3,2,5,77.274,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S062,35,Masters,0,16,20,15,20,11,20,10,20,11,20,9,1,0.5,0.2,1,0.7,0.3,1,0.6,0.4,1,0.7,0.3,1,0.6,0.4,6,4,6,5,6,4,6,3,6,4,6,3,6,4,6,3,5,3,72.28,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S063,42,"College (B.A., B.S.)",20,10,0,14,20,10,20,10,20,0,20,10,1,0.1,0.1,1,0,0,1,0.5,0.5,1,0,0,1,0,0,6,2,6,6,6,6,6,2,6,0,6,0,6,0,6,0,4,1,132.766,eng_accented_mex_spa,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S064,32,Masters,0,20,3,20,5,20,10,20,20,20,10,4,1,0.3,0,0.9,0.2,0,0.8,0.3,0,0.7,0.3,0,0.8,0.2,0,6,3,6,2,6,2,6,2,6,2,5,2,5,3,6,3,2,5,99.982,spa_accented_am_eng,Computer/laptop speakers,ad_i_spp_cr,1 and 2
